,geo_A_lat,geo_A_lon,geo_B_lat,geo_B_lon,geo_A_coordinates,geo_B_coordinates,geo_A_id,geo_B_id,id,created,project_id,task_id,user_id,user_ip,finish_time,timeout,calibration,external_uid,media_url,info,task_created,state,quorum,task_calibration,priority_0,n_answers,fav_user_ids
47,-75.55127179,5.722558371,6.864577687,51.07275698,"(-75.5512717876, 5.722558370880001)","(6.8645776867400015, 51.0727569764)",48,3431,224080,2024-01-31T11:34:27.642848,761,384249,,47.167.220.10,2024-01-31T11:34:31.637830,,,,,"""A""",2024-01-17T18:58:32.960777,completed,0,0,0,1,
48,47.63157578,40.17633585,-75.63378406,42.1259067,"(47.6315757832, 40.176335849299996)","(-75.6337840583, 42.1259066964)",49,3184,210736,2024-01-21T08:36:32.308371,761,384250,,47.167.220.10,2024-01-21T08:36:38.218061,,,,,"""B""",2024-01-17T18:58:33.081214,completed,0,0,0,1,
49,-100.0810542,17.99033712,-71.9260331,-7.201145327,"(-100.081054245, 17.990337118699998)","(-71.9260331041, -7.201145327050001)",50,2410,224005,2024-01-31T11:09:44.428013,761,384251,,47.167.220.10,2024-01-31T11:09:53.029089,,,,,"""A""",2024-01-17T18:58:33.197301,completed,0,0,0,1,
50,-58.34881974,-10.24581324,-59.91485837,4.468995913,"(-58.3488197417, -10.2458132352)","(-59.914858371, 4.46899591333)",51,966,210737,2024-01-21T08:36:38.538836,761,384252,,47.167.220.10,2024-01-21T08:36:46.672145,,,,,"""B""",2024-01-17T18:58:33.306375,completed,0,0,0,1,
51,39.00592827,45.88373678,-74.9322174,1.482624165,"(39.0059282685, 45.8837367791)","(-74.93221739890001, 1.48262416534)",52,921,224223,2024-01-31T12:37:11.915633,761,384253,,47.167.220.10,2024-01-31T12:37:13.889665,,,,,"""B""",2024-01-17T18:58:33.556538,completed,0,0,0,1,
52,-77.24816679,38.24739843,-76.75058893,35.33684567,"(-77.24816678970001, 38.2473984296)","(-76.75058893229999, 35.3368456719)",53,2418,210738,2024-01-21T08:36:46.996286,761,384254,,47.167.220.10,2024-01-21T08:36:53.591307,,,,,"""B""",2024-01-17T18:58:33.673567,completed,0,0,0,1,
53,-95.02986398,38.97664961,-92.42290417,37.45553844,"(-95.0298639751, 38.9766496121)","(-92.42290416760001, 37.455538439)",54,4363,224006,2024-01-31T11:09:53.364963,761,384255,,47.167.220.10,2024-01-31T11:09:56.381106,,,,,"""A""",2024-01-17T18:58:33.791078,completed,0,0,0,1,
54,-6.704728108,12.52303812,-72.34326897,43.59034852,"(-6.70472810781, 12.5230381188)","(-72.3432689669, 43.590348524300005)",55,4191,210739,2024-01-21T08:36:53.898561,761,384256,,47.167.220.10,2024-01-21T08:37:05.282628,,,,,"""A""",2024-01-17T18:58:33.908417,completed,0,0,0,1,
55,-92.13270265,32.51609776,-60.17718822,-33.32558336,"(-92.1327026489, 32.516097764)","(-60.177188218699996, -33.3255833614)",56,1385,224081,2024-01-31T11:34:31.956202,761,384257,,47.167.220.10,2024-01-31T11:34:41.817193,,,,,"""B""",2024-01-17T18:58:34.043861,completed,0,0,0,1,
56,-55.50028126,-32.15155705,51.27800071,53.38575504,"(-55.5002812585, -32.1515570502)","(51.278000714300006, 53.385755044899994)",57,2242,210740,2024-01-21T08:37:05.669043,761,384258,,47.167.220.10,2024-01-21T08:37:23.079335,,,,,"""A""",2024-01-17T18:58:34.160747,completed,0,0,0,1,
57,-101.9139663,18.24150932,33.88841636,49.84063021,"(-101.913966282, 18.2415093245)","(33.8884163636, 49.8406302101)",58,198,224007,2024-01-31T11:09:56.710180,761,384259,,47.167.220.10,2024-01-31T11:10:02.465123,,,,,"""A""",2024-01-17T18:58:34.264958,completed,0,0,0,1,
58,-67.49217493,0.834323196,-44.14208442,-11.17355044,"(-67.4921749289, 0.8343231962459999)","(-44.142084422399996, -11.1735504443)",59,1281,210741,2024-01-21T08:37:23.474588,761,384260,,47.167.220.10,2024-01-21T08:37:29.996392,,,,,"""A""",2024-01-17T18:58:34.371083,completed,0,0,0,1,
59,39.96854585,43.45869773,30.74821504,28.26198167,"(39.9685458548, 43.458697728100006)","(30.748215043600002, 28.2619816731)",60,4287,224234,2024-01-31T12:37:44.700597,761,384261,,47.167.220.10,2024-01-31T12:37:54.162190,,,,,"""A""",2024-01-17T18:58:34.512543,completed,0,0,0,1,
60,45.92678033,32.39876588,10.99696284,63.45403056,"(45.9267803317, 32.3987658799)","(10.996962838499998, 63.4540305619)",61,3776,210742,2024-01-21T08:37:30.320863,761,384262,,47.167.220.10,2024-01-21T08:37:42.120456,,,,,"""B""",2024-01-17T18:58:34.649514,completed,0,0,0,1,
61,39.59938092,47.19753435,-54.69848479,-25.56042893,"(39.5993809244, 47.1975343471)","(-54.698484791300004, -25.5604289327)",62,1780,224008,2024-01-31T11:10:02.831769,761,384263,,47.167.220.10,2024-01-31T11:10:08.526289,,,,,"""B""",2024-01-17T18:58:34.780962,completed,0,0,0,1,
62,-42.73089801,-20.00519515,12.89260227,8.933028828,"(-42.7308980072, -20.005195153)","(12.8926022734, 8.933028828180001)",63,1774,210743,2024-01-21T08:37:42.573084,761,384264,,47.167.220.10,2024-01-21T08:37:48.335126,,,,,"""B""",2024-01-17T18:58:34.920111,completed,0,0,0,1,
63,39.83589178,52.88531436,-80.62081853,33.88207051,"(39.8358917845, 52.8853143626)","(-80.6208185295, 33.8820705066)",64,3373,224082,2024-01-31T11:34:42.141801,761,384265,,47.167.220.10,2024-01-31T11:34:54.239955,,,,,"""A""",2024-01-17T18:58:35.049389,completed,0,0,0,1,
